MouseName,MouseId,HumanName,HumanId,RatName,RatId,FlyName,FlyId,FishName,FishId,YeastName,YeastId,homologId,COSMIC,CGC,Study,PubMedId,Effect,CISAddress,Rank,Cancer,Studies
Ampd1,229665,AMPD1,270,Ampd1,25028,NA,NA,ampd1,393867,NA,NA,20,TRUE,FALSE,March 2011-01,22057237,N/A,,N/A,Colorectal Cancer,3
Ampd1,229665,AMPD1,270,Ampd1,25028,NA,NA,ampd1,393867,NA,NA,20,TRUE,FALSE,Perna 2015-01,25624498,N/A,3:103091515-103091515,B,Skin Cancer,3
Ampd1,229665,AMPD1,270,Ampd1,25028,NA,NA,ampd1,393867,NA,NA,20,TRUE,FALSE,Rad 2010-01,20947725,N/A,3:103024471-103109264,N/A,Blood Cancer,3
Apoh,11818,APOH,350,Apoh,287774,NA,NA,NA,NA,NA,NA,26,TRUE,FALSE,Bard-Chapeau 2014-01,24316982,N/A,11:108395296-108414396,D,Liver Cancer,3
Apoh,11818,APOH,350,Apoh,287774,NA,NA,NA,NA,NA,NA,26,TRUE,FALSE,Kodama 2016-01,27178121,N/A,11:108343354-108414396,D,Liver Cancer,3
Apoh,11818,APOH,350,Apoh,287774,NA,NA,NA,NA,NA,NA,26,TRUE,FALSE,March 2011-01,22057237,N/A,,N/A,Colorectal Cancer,3
Fas,14102,FAS,355,Fas,246097,NA,NA,fas,768248,NA,NA,27,TRUE,TRUE,Friedel 2013-01,23940809,N/A,19:34290659-34327770,N/A,Mixed,2
Fas,14102,FAS,355,Fas,246097,NA,NA,fas,768248,NA,NA,27,TRUE,TRUE,Guo 2016-01,26676752,N/A,19:34290659-34327770,B,Blood Cancer,2
Ar,11835,AR,367,Ar,24208,NA,NA,NA,NA,NA,NA,28,TRUE,TRUE,Bard-Chapeau 2014-01,24316982,N/A,X:98214829-98214829,D,Liver Cancer,1
Asl,109900,ASL,435,Asl,59085,CG9510,3771738,asl,393423,ARG4,856411,32,TRUE,FALSE,Bard-Chapeau 2014-01,24316982,N/A,5:130011502-130024331,D,Liver Cancer,2
Asl,109900,ASL,435,Asl,59085,CG9510,3771738,asl,393423,ARG4,856411,32,TRUE,FALSE,Guo 2016-01,26676752,N/A,5:130011258-130029247,D,Blood Cancer,2
Bckdhb,12040,BCKDHB,594,Bckdhb,29711,CG17691,3355069,bckdhb,569980,NA,NA,39,TRUE,FALSE,Bard-Chapeau 2014-01,24316982,N/A,9:83948780-84124240,D,Liver Cancer,1
Brca2,12190,BRCA2,675,Brca2,360254,NA,NA,NA,NA,NA,NA,41,TRUE,TRUE,March 2011-01,22057237,N/A,,N/A,Colorectal Cancer,1
Serping1,12258,SERPING1,710,Serping1,295703,NA,NA,serping1,567801,NA,NA,44,TRUE,FALSE,March 2011-01,22057237,N/A,,N/A,Colorectal Cancer,1
C2,12263,C2,717,C2,24231,NA,NA,LOC563828,563828,NA,NA,45,TRUE,FALSE,Guo 2016-01,26676752,N/A,17:34862604-34898265,D,Blood Cancer,2
C2,12263,C2,717,C2,24231,NA,NA,LOC563828,563828,NA,NA,45,TRUE,FALSE,March 2011-01,22057237,N/A,,N/A,Colorectal Cancer,2
Capn3,12335,CAPN3,825,Capn3,29155,NA,NA,capn3a,447832,NA,NA,52,TRUE,FALSE,Guo 2016-01,26676752,N/A,2:120456019-120504913,C,Blood Cancer,2
Capn3,12335,CAPN3,825,Capn3,29155,NA,NA,capn3a,447832,NA,NA,52,TRUE,FALSE,March 2011-01,22057237,N/A,,N/A,Colorectal Cancer,2
Chrne,11448,CHRNE,1145,Chrne,29422,NA,NA,NA,NA,NA,NA,60,TRUE,FALSE,March 2011-01,22057237,N/A,,N/A,Colorectal Cancer,1
Lyst,17101,LYST,1130,Lyst,85419,NA,NA,lyst,100150726,NA,NA,61,TRUE,FALSE,Bard-Chapeau 2014-01,24316982,N/A,13:13590408-13777440,D,Liver Cancer,5
Lyst,17101,LYST,1130,Lyst,85419,NA,NA,lyst,100150726,NA,NA,61,TRUE,FALSE,Guo 2016-01,26676752,N/A,13:13590409-13777440,B,Blood Cancer,5
Lyst,17101,LYST,1130,Lyst,85419,NA,NA,lyst,100150726,NA,NA,61,TRUE,FALSE,Keng 2013-01,22899566,N/A,13:13615033-13628033,D,Liver Cancer,5
Lyst,17101,LYST,1130,Lyst,85419,NA,NA,lyst,100150726,NA,NA,61,TRUE,FALSE,Kodama 2016-01,27178121,N/A,13:13590409-13777440,D,Liver Cancer,5
Lyst,17101,LYST,1130,Lyst,85419,NA,NA,lyst,100150726,NA,NA,61,TRUE,FALSE,Wu 2012-01,22343890,N/A,13:13590409-13777440,N/A,Nervous System Cancer,5
Clcnka,12733,CLCNKB,1188,Clcnka,79425,NA,NA,clcnk,393353,NA,NA,65,TRUE,FALSE,March 2011-01,22057237,N/A,,N/A,Colorectal Cancer,1
Comp,12845,COMP,1311,Comp,25304,Tsp,33941,im:7154332,100318854,NA,NA,74,TRUE,FALSE,Guo 2016-01,26676752,N/A,8:70373558-70382066,D,Blood Cancer,1
Cp,12870,CP,1356,Cp,24268,NA,NA,cp,84702,NA,NA,75,TRUE,FALSE,Bard-Chapeau 2014-01,24316982,N/A,3:19957053-20007609,B,Liver Cancer,2
Cp,12870,CP,1356,Cp,24268,NA,NA,cp,84702,NA,NA,75,TRUE,FALSE,Kodama 2016-01,27178121,N/A,3:19957054-20009145,C,Liver Cancer,2
Cpt2,12896,CPT2,1376,Cpt2,25413,CG2107,38355,cpt2,100005717,YAT1,851285,77,TRUE,FALSE,Bard-Chapeau 2014-01,24316982,N/A,4:107903981-107923589,D,Liver Cancer,3
Cpt2,12896,CPT2,1376,Cpt2,25413,CG2107,38355,cpt2,100005717,YAT1,851285,77,TRUE,FALSE,Guo 2016-01,26676752,N/A,4:107903981-107923610,B,Blood Cancer,3
Cpt2,12896,CPT2,1376,Cpt2,25413,CG2107,38355,cpt2,100005717,YAT1,851285,77,TRUE,FALSE,Kodama 2016-01,27178121,N/A,4:107903981-107923610,D,Liver Cancer,3
Cst3,13010,CST3,1471,Cst3,25307,NA,NA,NA,NA,NA,NA,78,TRUE,FALSE,Guo 2016-01,26676752,N/A,2:148871722-148875692,D,Blood Cancer,1
Ddb2,107986,DDB2,1643,Ddb2,100362121,NA,NA,ddb2,100004133,NA,NA,83,TRUE,TRUE,Guo 2016-01,26676752,N/A,2:91211572-91236982,C,Blood Cancer,1
Dld,13382,DLD,1738,Dld,298942,CG7430,39988,dldh,399479,LPD1,850527,84,TRUE,FALSE,Bard-Chapeau 2014-01,24316982,N/A,12:31342187-31342187,D,Liver Cancer,3
Dld,13382,DLD,1738,Dld,298942,CG7430,39988,dldh,399479,LPD1,850527,84,TRUE,FALSE,Guo 2016-01,26676752,N/A,12:31331564-31351437,D,Blood Cancer,3
Dld,13382,DLD,1738,Dld,298942,CG7430,39988,dldh,399479,LPD1,850527,84,TRUE,FALSE,March 2011-01,22057237,N/A,12:31347979-31371401,D,Colorectal Cancer,3
Dpyd,99586,DPYD,1806,Dpyd,81656,su(r),31858,dpydb,405829,NA,NA,85,TRUE,FALSE,Bard-Chapeau 2014-01,24316982,N/A,3:118562177-119432918,D,Liver Cancer,3
Dpyd,99586,DPYD,1806,Dpyd,81656,su(r),31858,dpydb,405829,NA,NA,85,TRUE,FALSE,Keng 2013-01,22899566,N/A,3:118740182-118996182,A,Liver Cancer,3
Dpyd,99586,DPYD,1806,Dpyd,81656,su(r),31858,dpydb,405829,NA,NA,85,TRUE,FALSE,Kodama 2016-01,27178121,N/A,3:118562129-119432924,D,Liver Cancer,3
Eng,13805,ENG,2022,Eng,497010,NA,NA,NA,NA,NA,NA,92,TRUE,FALSE,Guo 2016-01,26676752,N/A,2:32646595-32682669,B,Blood Cancer,1
Epor,13857,EPOR,2057,Epor,24336,NA,NA,epor,751109,NA,NA,95,TRUE,FALSE,Van der Weyden 2011-01,21628403,N/A,9:21964389-21964389,C,Blood Cancer,2
Epor,13857,EPOR,2057,Epor,24336,NA,NA,epor,751109,NA,NA,95,TRUE,FALSE,Van der Weyden 2013-01,22370638,N/A,9:21959231-21966475,D,Blood Cancer,2
Ercc3,13872,ERCC3,2071,Ercc3,291703,hay,39202,ercc3,324323,SSL2,854663,96,TRUE,TRUE,Guo 2016-01,26676752,N/A,18:32240300-32270151,D,Blood Cancer,1
Etfa,110842,ETFA,2108,Etfa,300726,wal,36252,etfa,325724,AIM45,856112,100,TRUE,FALSE,Bard-Chapeau 2014-01,24316982,N/A,9:55454435-55512243,B,Liver Cancer,5
Etfa,110842,ETFA,2108,Etfa,300726,wal,36252,etfa,325724,AIM45,856112,100,TRUE,FALSE,Guo 2016-01,26676752,N/A,9:55454508-55512243,C,Blood Cancer,5
Etfa,110842,ETFA,2108,Etfa,300726,wal,36252,etfa,325724,AIM45,856112,100,TRUE,FALSE,Kodama 2016-01,27178121,N/A,9:55454508-55512243,C,Liver Cancer,5
Etfa,110842,ETFA,2108,Etfa,300726,wal,36252,etfa,325724,AIM45,856112,100,TRUE,FALSE,Perna 2015-01,25624498,N/A,9:55468838-55468838,D,Skin Cancer,5
Etfa,110842,ETFA,2108,Etfa,300726,wal,36252,etfa,325724,AIM45,856112,100,TRUE,FALSE,Wu 2012-02,22343890,N/A,9:55454508-55512243,N/A,Nervous System Cancer,5
F5,14067,F5,2153,F5,304929,NA,NA,f5,327320,NA,NA,104,TRUE,FALSE,Guo 2016-01,26676752,N/A,1:164151838-164220277,C,Blood Cancer,2
F5,14067,F5,2153,F5,304929,NA,NA,f5,327320,NA,NA,104,TRUE,FALSE,Rad 2010-01,20947725,N/A,1:164077517-164121447,N/A,Blood Cancer,2
Fancc,14088,FANCC,2176,Fancc,24361,NA,NA,fancc,692127,NA,NA,109,TRUE,TRUE,Guo 2016-01,26676752,N/A,13:63304709-63497278,B,Blood Cancer,2
Fancc,14088,FANCC,2176,Fancc,24361,NA,NA,fancc,692127,NA,NA,109,TRUE,TRUE,Morris 2016-01,27790711,N/A,13:63243291-63325292,B,Colorectal Cancer,2
Fah,14085,FAH,2184,Fah,29383,Faa,45577,fah,322372,NA,NA,110,TRUE,FALSE,Bard-Chapeau 2014-01,24316982,N/A,7:84585159-84605942,B,Liver Cancer,4
Fah,14085,FAH,2184,Fah,29383,Faa,45577,fah,322372,NA,NA,110,TRUE,FALSE,Guo 2016-01,26676752,N/A,7:84585159-84606722,D,Blood Cancer,4
Fah,14085,FAH,2184,Fah,29383,Faa,45577,fah,322372,NA,NA,110,TRUE,FALSE,Kodama 2016-01,27178121,N/A,7:84585159-84606722,B,Liver Cancer,4
Fah,14085,FAH,2184,Fah,29383,Faa,45577,fah,322372,NA,NA,110,TRUE,FALSE,March 2011-01,22057237,N/A,,N/A,Colorectal Cancer,4
Fech,14151,FECH,2235,Fech,361338,ferrochelatase,43757,fech,58215,HEM15,854347,113,TRUE,FALSE,March 2011-01,22057237,N/A,,N/A,Colorectal Cancer,1
Galk1,14635,GALK1,2584,Galk1,287835,NA,NA,galk1,449829,NA,NA,125,TRUE,FALSE,March 2011-01,22057237,N/A,,N/A,Colorectal Cancer,1
Galt,14430,GALT,2592,Galt,298003,Galt,33935,galt,791130,GAL7,852306,126,TRUE,FALSE,Guo 2016-01,26676752,N/A,4:41755228-41758695,C,Blood Cancer,1
Gch1,14528,GCH1,2643,Gch1,29244,Pu,37415,gch1,100192219,FOL2,853183,132,TRUE,FALSE,Bard-Chapeau 2014-01,24316982,N/A,14:47153894-47189402,C,Liver Cancer,3
Gch1,14528,GCH1,2643,Gch1,29244,Pu,37415,gch1,100192219,FOL2,853183,132,TRUE,FALSE,Guo 2016-01,26676752,N/A,14:47153895-47189402,D,Blood Cancer,3
Gch1,14528,GCH1,2643,Gch1,29244,Pu,37415,gch1,100192219,FOL2,853183,132,TRUE,FALSE,Kodama 2016-01,27178121,N/A,14:47153895-47189402,C,Liver Cancer,3
Ghr,14600,GHR,2690,Ghr,25235,NA,NA,ghra,100001424,NA,NA,134,TRUE,FALSE,Bard-Chapeau 2014-01,24316982,N/A,15:3317759-3583230,B,Liver Cancer,9
Ghr,14600,GHR,2690,Ghr,25235,NA,NA,ghra,100001424,NA,NA,134,TRUE,FALSE,Berquam Vrieze 2011-01,21828136,Gain,15:3466236-3605691,C,Blood Cancer,9
Ghr,14600,GHR,2690,Ghr,25235,NA,NA,ghra,100001424,NA,NA,134,TRUE,FALSE,Berquam Vrieze 2011-02,21828136,Gain,15:3461304-3595969,B,Blood Cancer,9
Ghr,14600,GHR,2690,Ghr,25235,NA,NA,ghra,100001424,NA,NA,134,TRUE,FALSE,Berquam Vrieze 2011-03,21828136,Gain,15:3463557-3582023,B,Blood Cancer,9
Ghr,14600,GHR,2690,Ghr,25235,NA,NA,ghra,100001424,NA,NA,134,TRUE,FALSE,Guo 2016-01,26676752,N/A,15:3317760-3583492,D,Blood Cancer,9
Ghr,14600,GHR,2690,Ghr,25235,NA,NA,ghra,100001424,NA,NA,134,TRUE,FALSE,Kodama 2016-01,27178121,N/A,15:3317760-3583492,B,Liver Cancer,9
Ghr,14600,GHR,2690,Ghr,25235,NA,NA,ghra,100001424,NA,NA,134,TRUE,FALSE,Koudijis 2011-01,21852388,N/A,15:3560001-3605001,D,Blood Cancer,9
Ghr,14600,GHR,2690,Ghr,25235,NA,NA,ghra,100001424,NA,NA,134,TRUE,FALSE,O'Donnell 2012-01,22556267,N/A,15:3317760-3583492,A,Liver Cancer,9
Ghr,14600,GHR,2690,Ghr,25235,NA,NA,ghra,100001424,NA,NA,134,TRUE,FALSE,Wong 2014-01,24316979,N/A,15:3480187-3480187,D,Blood Cancer,9
Gjb1,14618,GJB1,2705,Gjb1,29584,NA,NA,cx31.7,100150195,NA,NA,137,TRUE,FALSE,March 2011-01,22057237,N/A,,N/A,Colorectal Cancer,1
Gli3,14634,GLI3,2737,Gli3,140588,NA,NA,gli3,403042,NA,NA,139,TRUE,FALSE,Chen 2017-01,28251929,N/A,13:15587067-15717158,D,Breast Cancer,3
Gli3,14634,GLI3,2737,Gli3,140588,NA,NA,gli3,403042,NA,NA,139,TRUE,FALSE,Koso 2012-02,23045694,N/A,13:15463235-15730026,A,Nervous System Cancer,3
Gli3,14634,GLI3,2737,Gli3,140588,NA,NA,gli3,403042,NA,NA,139,TRUE,FALSE,Perna 2015-01,25624498,N/A,13:15628591-15628591,A,Skin Cancer,3
Gldc,104174,GLDC,2731,Gldc,309312,CG3999,41253,gldc,321621,GCV2,855227,141,TRUE,FALSE,Bard-Chapeau 2014-01,24316982,N/A,19:30098446-30175418,D,Liver Cancer,4
Gldc,104174,GLDC,2731,Gldc,309312,CG3999,41253,gldc,321621,GCV2,855227,141,TRUE,FALSE,Guo 2016-01,26676752,N/A,19:30098449-30175418,B,Blood Cancer,4
Gldc,104174,GLDC,2731,Gldc,309312,CG3999,41253,gldc,321621,GCV2,855227,141,TRUE,FALSE,Kodama 2016-01,27178121,N/A,19:30098449-30175418,D,Liver Cancer,4
Gldc,104174,GLDC,2731,Gldc,309312,CG3999,41253,gldc,321621,GCV2,855227,141,TRUE,FALSE,March 2011-01,22057237,N/A,,N/A,Colorectal Cancer,4
Gp1ba,14723,GP1BA,2811,Gp1ba,691992,NA,NA,NA,NA,NA,NA,143,TRUE,FALSE,March 2011-01,22057237,N/A,,N/A,Colorectal Cancer,1
Gp9,54368,GP9,2815,Gp9,502858,NA,NA,NA,NA,NA,NA,144,TRUE,FALSE,Guo 2016-01,26676752,N/A,6:87778072-87779768,D,Blood Cancer,2
Gp9,54368,GP9,2815,Gp9,502858,NA,NA,NA,NA,NA,NA,144,TRUE,FALSE,March 2011-01,22057237,N/A,,N/A,Colorectal Cancer,2
Gsn,227753,GSN,2934,Gsn,296654,NA,NA,gsna,321099,NA,NA,147,TRUE,FALSE,Guo 2016-01,26676752,N/A,2:35256380-35307892,B,Blood Cancer,2
Gsn,227753,GSN,2934,Gsn,296654,NA,NA,gsna,321099,NA,NA,147,TRUE,FALSE,March 2011-01,22057237,N/A,2:35263749-35287373,D,Colorectal Cancer,2
Msh6,17688,MSH6,2956,LOC100360342,100360342,Msh6,39654,msh6,260437,MSH6,851671,149,TRUE,TRUE,March 2011-01,22057237,N/A,,N/A,Colorectal Cancer,1
Hadhb,231086,HADHB,3032,Hadhb,171155,Thiolase,37784,hadhb,336606,NA,NA,153,TRUE,FALSE,Bard-Chapeau 2014-01,24316982,N/A,5:30155321-30184583,B,Liver Cancer,7
Hadhb,231086,HADHB,3032,Hadhb,171155,Thiolase,37784,hadhb,336606,NA,NA,153,TRUE,FALSE,Guo 2016-01,26676752,N/A,5:30155248-30184593,C,Blood Cancer,7
Hadhb,231086,HADHB,3032,Hadhb,171155,Thiolase,37784,hadhb,336606,NA,NA,153,TRUE,FALSE,Kodama 2016-01,27178121,N/A,5:30155248-30184593,C,Liver Cancer,7
Hadhb,231086,HADHB,3032,Hadhb,171155,Thiolase,37784,hadhb,336606,NA,NA,153,TRUE,FALSE,March 2011-01,22057237,N/A,,N/A,Colorectal Cancer,7
Hadhb,231086,HADHB,3032,Hadhb,171155,Thiolase,37784,hadhb,336606,NA,NA,153,TRUE,FALSE,Moriarity 2015-02,25961939,Gain,5:30155248-30184593,D,Sarcoma,7
Hadhb,231086,HADHB,3032,Hadhb,171155,Thiolase,37784,hadhb,336606,NA,NA,153,TRUE,FALSE,Morris 2016-01,27790711,N/A,5:30138060-30174060,D,Colorectal Cancer,7
Hadhb,231086,HADHB,3032,Hadhb,171155,Thiolase,37784,hadhb,336606,NA,NA,153,TRUE,FALSE,Takeda 2016-01,27006499,Loss,5:30154231-30183558,D,Gastric Cancer,7
Hgd,15233,HGD,3081,Hgd,360719,hgo,34552,hgd,259189,NA,NA,156,TRUE,FALSE,Bard-Chapeau 2014-01,24316982,N/A,16:37580152-37632025,A,Liver Cancer,2
Hgd,15233,HGD,3081,Hgd,360719,hgo,34552,hgd,259189,NA,NA,156,TRUE,FALSE,Kodama 2016-01,27178121,N/A,16:37580153-37632020,A,Liver Cancer,2
Hmgcl,15356,HMGCL,3155,Hmgcl,79238,CG10399,33978,hmgcl,394190,NA,NA,159,TRUE,FALSE,March 2011-01,22057237,N/A,,N/A,Colorectal Cancer,3
Hmgcl,15356,HMGCL,3155,Hmgcl,79238,CG10399,33978,hmgcl,394190,NA,NA,159,TRUE,FALSE,Rad 2010-01,20947725,N/A,4:135877048-135944317,N/A,Blood Cancer,3
Hmgcl,15356,HMGCL,3155,Hmgcl,79238,CG10399,33978,hmgcl,394190,NA,NA,159,TRUE,FALSE,Takeda 2016-01,27006499,Loss,4:135949648-135954048,D,Gastric Cancer,3
Hps1,192236,HPS1,3257,Hps1,114638,NA,NA,hps1,563067,NA,NA,163,TRUE,FALSE,Guo 2016-01,26676752,N/A,19:42755105-42779978,B,Blood Cancer,1
Icam1,15894,ICAM1,3383,Icam1,25464,NA,NA,NA,NA,NA,NA,168,TRUE,FALSE,March 2011-01,22057237,N/A,,N/A,Colorectal Cancer,1
Idua,15932,IDUA,3425,Idua,360904,CG6201,34544,idua,567720,NA,NA,170,TRUE,FALSE,Guo 2016-01,26676752,N/A,5:108660331-108684552,D,Blood Cancer,1
Cfi,12630,CFI,3426,Cfi,79126,NA,NA,cfi,557557,NA,NA,171,TRUE,FALSE,Bard-Chapeau 2014-01,24316982,N/A,3:129836738-129875328,C,Liver Cancer,2
Cfi,12630,CFI,3426,Cfi,79126,NA,NA,cfi,557557,NA,NA,171,TRUE,FALSE,Kodama 2016-01,27178121,N/A,3:129835884-129875332,D,Liver Cancer,2
Itgb4,192897,ITGB4,3691,Itgb4,25724,NA,NA,itgb4,335269,NA,NA,179,TRUE,FALSE,March 2011-01,22057237,N/A,,N/A,Colorectal Cancer,1
Jag1,16449,JAG1,182,Jag1,29146,Ser,43275,jag1b,140423,NA,NA,180,TRUE,FALSE,Bard-Chapeau 2014-01,24316982,N/A,2:137081457-137116331,D,Liver Cancer,1
Kcna1,16485,KCNA1,3736,Kcna1,24520,NA,NA,LOC795942,795942,NA,NA,183,TRUE,FALSE,Perna 2015-01,25624498,N/A,6:126611611-126611611,D,Skin Cancer,2
Kcna1,16485,KCNA1,3736,Kcna1,24520,NA,NA,LOC795942,795942,NA,NA,183,TRUE,FALSE,Rahrmann 2013-01,23685747,N/A,6:126636463-126645801,D,Nervous System Cancer,2
Kcne1,16509,LOC102723475,102723475,Kcne1,25471,NA,NA,NA,NA,NA,NA,185,FALSE,FALSE,Wu 2012-01,22343890,N/A,16:92346001-92359468,N/A,Nervous System Cancer,1
Krt12,268482,KRT12,3859,Krt12,360625,NA,NA,NA,NA,NA,NA,188,TRUE,FALSE,Wu 2012-01,22343890,N/A,11:99415666-99422259,N/A,Nervous System Cancer,1
Lipc,15450,LIPC,3990,Lipc,24538,NA,NA,lipca,393997,NA,NA,199,TRUE,FALSE,Guo 2016-01,26676752,N/A,9:70798129-70934808,A,Blood Cancer,2
Lipc,15450,LIPC,3990,Lipc,24538,NA,NA,lipca,393997,NA,NA,199,TRUE,FALSE,March 2011-01,22057237,N/A,,N/A,Colorectal Cancer,2
Met,17295,MET,4233,Met,24553,NA,NA,met,100150664,NA,NA,206,TRUE,TRUE,Bard-Chapeau 2014-01,24316982,N/A,6:17463956-17573980,D,Liver Cancer,6
Met,17295,MET,4233,Met,24553,NA,NA,met,100150664,NA,NA,206,TRUE,TRUE,Keng 2009-01,19234449,Loss,6:17499763-17595224,C,Liver Cancer,6
Met,17295,MET,4233,Met,24553,NA,NA,met,100150664,NA,NA,206,TRUE,TRUE,Kodama 2016-01,27178121,N/A,6:17463800-17573980,D,Liver Cancer,6
Met,17295,MET,4233,Met,24553,NA,NA,met,100150664,NA,NA,206,TRUE,TRUE,Kodama 2016-02,27247392,N/A,6:17463800-17573980,A,Liver Cancer,6
Met,17295,MET,4233,Met,24553,NA,NA,met,100150664,NA,NA,206,TRUE,TRUE,Koso 2012-01,23045694,N/A,6:17463800-17573980,A,Nervous System Cancer,6
Met,17295,MET,4233,Met,24553,NA,NA,met,100150664,NA,NA,206,TRUE,TRUE,Rad 2015-01,25485836,N/A,6:17540878-17556878,D,Pancreatic Cancer,6
Msh2,17685,MSH2,4436,Msh2,81709,spel1,34842,msh2,406845,MSH2,854063,210,TRUE,TRUE,Chen 2016-01,27398792,N/A,17:87672330-87723713,B,Colorectal Cancer,3
Msh2,17685,MSH2,4436,Msh2,81709,spel1,34842,msh2,406845,MSH2,854063,210,TRUE,TRUE,Guo 2016-01,26676752,N/A,17:87672330-87723713,C,Blood Cancer,3
Msh2,17685,MSH2,4436,Msh2,81709,spel1,34842,msh2,406845,MSH2,854063,210,TRUE,TRUE,March 2011-01,22057237,N/A,,N/A,Colorectal Cancer,3
Mttp,17777,MTTP,4547,Mttp,310900,Mtp,35362,mtp,406207,NA,NA,212,TRUE,FALSE,Bard-Chapeau 2014-01,24316982,N/A,3:138089854-138143388,D,Liver Cancer,2
Mttp,17777,MTTP,4547,Mttp,310900,Mtp,35362,mtp,406207,NA,NA,212,TRUE,FALSE,Kodama 2016-01,27178121,N/A,3:138089854-138144968,D,Liver Cancer,2
Mybpc3,17868,MYBPC3,4607,Mybpc3,295929,NA,NA,mybpc3,556489,NA,NA,215,TRUE,FALSE,March 2011-01,22057237,N/A,,N/A,Colorectal Cancer,1
Myoc,17926,MYOC,4653,Myoc,81523,NA,NA,myoc,548602,NA,NA,220,TRUE,FALSE,Guo 2016-01,26676752,N/A,1:162639155-162649693,B,Blood Cancer,1
Ptch1,19206,PTCH1,5727,Ptch1,89830,ptc,35851,ptch1,30189,NA,NA,223,TRUE,TRUE,Bard-Chapeau 2014-01,24316982,N/A,13:63511532-63565520,C,Liver Cancer,5
Ptch1,19206,PTCH1,5727,Ptch1,89830,ptc,35851,ptch1,30189,NA,NA,223,TRUE,TRUE,Kodama 2016-01,27178121,N/A,13:63508328-63573598,D,Liver Cancer,5
Ptch1,19206,PTCH1,5727,Ptch1,89830,ptc,35851,ptch1,30189,NA,NA,223,TRUE,TRUE,Rahrmann 2013-02,23685747,N/A,13:63511533-63565520,D,Nervous System Cancer,5
Ptch1,19206,PTCH1,5727,Ptch1,89830,ptc,35851,ptch1,30189,NA,NA,223,TRUE,TRUE,Rahrmann 2013-04,23685747,Loss,13:63511533-63565520,C,Nervous System Cancer,5
Ptch1,19206,PTCH1,5727,Ptch1,89830,ptc,35851,ptch1,30189,NA,NA,223,TRUE,TRUE,Wu 2012-01,22343890,N/A,13:63511533-63565520,N/A,Nervous System Cancer,5
Nf1,18015,NF1,4763,Nf1,24592,Nf1,43149,nf1b,564518,NA,NA,226,TRUE,TRUE,Bard-Chapeau 2014-01,24316982,N/A,11:79339891-79581609,D,Liver Cancer,23
Nf1,18015,NF1,4763,Nf1,24592,Nf1,43149,nf1b,564518,NA,NA,226,TRUE,TRUE,Been 2014-01,24827933,Loss,11:79422000-79472000,C,Blood Cancer,23
